Active,Potential Short Sale / Lender Appr Required,ML81439599,15091 BECKY Lane,3150000,1055,4,5,3,1,4869,+4.53020000000000E+004,Monte Sereno,21,-1.21993431000000E+002,+3.72496099000000E+001
Active,Not Applicable,ML81562230,16410 Reynolds Drive,3100000,13,6,4,5,1,5305,+9.23472000000000E+004,Morgan Hill,12,-1.21681960000000E+002,+3.71044030000000E+001
Active,Not Applicable,ML81563079,20850 Saratoga Hills Road,3095000,7,5,4,3,2,3740,+5.88060000000000E+004,Saratoga,39,-1.22038717000000E+002,+3.72637890000000E+001
Active,Not Applicable,ML81496665,10625 Eloise Circle,2999999,229,0,0,0,0,5600,+4.92220000000000E+004,Los Altos Hills,61,-1.22103527000000E+002,+3.73431520000000E+001
Active,Not Applicable,ML81462776,15680 Canon Drive,2999950,310,2,4,2,0,1800,+5.96772000000000E+005,Los Gatos,100,-1.22017660000000E+002,+3.72391420000000E+001
Active,Not Applicable,ML81550492,22637 Mount Eden Road,2999888,25,3,4,2,1,2792,+1.00695000000000E+005,Saratoga,41,-1.22057477100000E+002,+3.72751656000000E+001
Active,Not Applicable,ML81563149,1071 Fife Avenue,2999000,6,3,3,2,1,1741,+7.50103000000000E+003,Palo Alto,62,-1.22149308000000E+002,+3.74518300000000E+001
Active,Not Applicable,ML81550973,1528 Padres Drive,2998000,21,3,5,3,0,4459,+1.24015300000000E+004,San Jose,27,-1.21885165000000E+002,+3.73071530000000E+001
Active,Not Applicable,ML81549724,620 Magdalena Avenue,2998000,8,4,4,3,1,2953,+2.79930000000000E+004,Los Altos,64,-1.22098221000000E+002,+3.73590590000000E+001
Active,New Subdivision,ML81548657,2088 Channing Avenue,2995000,40,4,4,3,1,3308,+3.38300000000000E+003,Palo Alto,1,-1.22125159500000E+002,+3.74488234000000E+001
Active,Not Applicable,ML81548824,2254 Williams Street,2995000,26,4,2,3,1,2591,+6.25086000000000E+003,Palo Alto,15,-1.22148751000000E+002,+3.74239680000000E+001
Pending,Not Applicable,ML81550105,936 Colonial Lane,2995000,15,3,4,3,0,2717,+6.73300000000000E+003,Palo Alto,7,-1.22124175000000E+002,+3.74400480000000E+001
Active,Not Applicable,ML81562915,20297 Ljepava Drive,2995000,8,3,4,2,1,2581,+1.53984600000000E+004,Saratoga,52,-1.22028605000000E+002,+3.72767390000000E+001
Active,Not Applicable,ML81563145,22338 Regnart Road,2995000,6,3,4,3,0,4436,+1.16740800000000E+005,Cupertino,30,-1.22065918000000E+002,+3.72950970000000E+001
Active,Not Applicable,ML81561885,16 Pennsylvania Avenue,2989000,14,3,3,2,1,2928,+1.42560000000000E+004,Los Gatos,110,-1.21987037000000E+002,+3.72248010000000E+001
Active,Not Applicable,ML81561213,5662 Country Club Parkway,2988888,19,5,4,4,1,5000,+1.50020600000000E+004,San Jose,20,-1.21769827000000E+002,+3.72714150000000E+001
Active,Not Applicable,ML81550979,22149 Rae Lane,2988000,21,4,5,3,1,4026,+1.03880000000000E+004,Cupertino,31,-1.22061409000000E+002,+3.73124020000000E+001
Active,Not Applicable,ML81562067,10075 Crescent Road,2988000,13,5,6,4,1,4262,+1.56950000000000E+004,Cupertino,31,-1.22063664000000E+002,+3.73244929000000E+001
Active,Not Applicable,ML81561188,4039 2nd Street,2980000,19,4,4,3,1,2142,+5.43800000000000E+003,Palo Alto,0,-1.22125333000000E+002,+3.74174130000000E+001
Pending,Not Applicable,ML81534638,16741 Loma Street,2950000,34,4,4,4,0,2866,+5.02700000000000E+003,Los Gatos,0,-1.21962563900000E+002,+3.72292509000000E+001
